학교명,시도,행정구,학교급,설립,지역규모,위도,경도,학생수,교원수,정규교원수,기간제교원수,직원수,교원1인당학생수,학생1인당교지면적,기간제비율,정규교원비율,직원당학생수,학생수_log,교지면적_log,cluster,cluster_type,최종유형,과밀score,소멸score,교원밀도_norm,기간제score,과밀등급,소멸등급,기간제등급,과밀target,소멸target,기간제target
남부초등학교,강원,춘천시,초등학교,공립,시,37.8590161,127.7261391,596.0,46.0,44.0,2.0,29.0,13.0,23.6,0.043478260869565216,0.9565217391304348,20.551724137931036,6.391917113392602,3.202746442938317,1,소멸위험형,소멸위험형,7.816260162601626,0.011475818810363875,0.4847328244274809,0.1758546299369399,일반,일반,일반,0,0,0
남산초등학교,강원,강릉시,초등학교,공립,시,37.79325182,127.6454292,438.0,35.0,34.0,1.0,22.0,12.5,39.2,0.02857142857142857,0.9714285714285714,19.90909090909091,6.0844994130751715,3.6938669956249757,3,초과밀형,과밀형,7.509950248756219,0.015027841052898,0.46564885496183206,0.1596946564885496,일반,일반,일반,0,0,0
남산초등학교,강원,춘천시,초등학교,공립,면지역,37.79325182,127.6454292,52.0,14.0,14.0,0.0,12.0,3.7,248.2,0.0,1.0,4.333333333333333,3.970291913552122,5.518255786913298,0,도심밀집형,과밀형,2.2216051364365974,0.042767295597484274,0.12977099236641224,0.03893129770992367,일반,일반,일반,0,0,0
남산초등학교,강원,홍천군,초등학교,공립,읍지역,37.79325182,127.6454292,766.0,60.0,56.0,4.0,27.0,12.8,18.1,0.06666666666666667,0.9333333333333333,28.37037037037037,6.642486801367256,2.9496883350525844,1,소멸위험형,소멸위험형,7.700942408376963,0.008848611793874367,0.4770992366412214,0.18979643765903306,일반,일반,일반,0,0,0
남선초등학교,강원,정선군,초등학교,공립,특수지역,37.26930638,128.74095,23.0,10.0,10.0,0.0,8.0,2.3,629.3,0.0,1.0,2.875,3.1780538303479458,6.446195896519065,0,도심밀집형,과밀형,1.3806346184356655,0.06628787878787878,0.07633587786259541,0.022900763358778622,일반,일반,일반,0,0,0
남애초등학교,강원,양양군,초등학교,공립,면지역,37.94661618,128.7807802,11.0,6.0,6.0,0.0,4.0,1.8,748.4,0.0,1.0,2.75,2.4849066497880004,6.619272886359587,0,도심밀집형,과밀형,1.0805337603416068,0.11309523809523808,0.05725190839694657,0.01717557251908397,일반,TOP1,일반,0,1,0
남원주중학교,강원,원주시,중학교,공립,시,37.32289526,127.9451221,859.0,59.0,55.0,4.0,25.0,14.6,15.8,0.06779661016949153,0.9322033898305084,34.36,6.756932389247553,2.8213788864092133,1,소멸위험형,소멸위험형,8.783809523809524,0.008914728682170543,0.5458015267175573,0.21119808513391125,일반,일반,일반,0,0,0
남원주초등학교,강원,원주시,초등학교,공립,시,37.32275082,127.9509825,753.0,51.0,49.0,2.0,28.0,14.8,16.8,0.0392156862745098,0.9607843137254902,26.892857142857142,6.625392368007956,2.8791984572980396,1,소멸위험형,소멸위험형,8.90247191011236,0.010278514588859417,0.5534351145038169,0.1934815147433019,일반,일반,일반,0,0,0
남춘천여자중학교,강원,춘천시,중학교,공립,시,37.8589848,127.7209989,755.0,59.0,53.0,6.0,22.0,12.8,21.7,0.1016949152542373,0.8983050847457628,34.31818181818182,6.628041376179533,3.122364924487357,1,소멸위험형,소멸위험형,7.697621145374449,0.008994708994708995,0.4770992366412214,0.2143162116703325,일반,일반,일반,0,0,0
남춘천중학교,강원,춘천시,중학교,공립,시,37.86053611,127.7210884,795.0,67.0,57.0,10.0,20.0,11.9,22.5,0.14925373134328357,0.8507462686567164,39.75,6.679599185844383,3.1570004211501135,3,초과밀형,과밀형,7.157021276595744,0.007981081879988175,0.44274809160305345,0.23730203942121453,일반,일반,일반,0,0,0
